Price,Location,Property Type,Area,Posted Date
₹7.80 Cr₹12000 per sqft,N/A,Super Area6500 sqftUnder ConstructionPoss. by Jun '26TransactionNew PropertyBathroom1,N/A,N/A
₹1.58 Cr₹8217 per sqft,N/A,Super Area1930 sqftUnder ConstructionPoss. by Oct '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1,N/A,N/A
₹4.52 Cr₹13755 per sqft,N/A,Super Area3287 sqftUnder ConstructionPoss. by Oct '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
₹1.07 Cr₹5903 per sqft,N/A,Super Area1823 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
₹5.74 Cr₹11500 per sqft,N/A,Super Area4999 sqftUnder ConstructionPoss. by May '26TransactionNew PropertyFurnishingUnfurnishedBathroom5Balcony4,N/A,N/A
₹50.6 Lac₹2556 per sqft,N/A,Plot Area220 sqyrdTransactionNew Property,N/A,N/A
₹73.4 Lac₹2222 per sqft,N/A,Plot Area367 sqyrdTransactionNew Property,N/A,N/A
₹73 Lac₹4399 per sqft,N/A,Super Area1660 sqftTransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony3,N/A,N/A
₹3.74 Cr₹9483 per sqft,N/A,Super Area3950 sqftUnder ConstructionPoss. by Nov '29TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony2,N/A,N/A
₹1.15 Cr₹5456 per sqft,N/A,Super Area2114 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1,N/A,N/A
₹38.2 Lac₹1556 per sqft,N/A,Plot Area273 sqyrdUnder ConstructionPoss. by May '27TransactionNew Property,N/A,N/A
₹3.04 Cr₹7899 per sqft,N/A,Super Area3855 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony2,N/A,N/A
₹1.41 Cr₹7499 per sqft,N/A,Carpet Area1445 sqftUnder ConstructionPoss. by Jul '27TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1,N/A,N/A
₹1.23 Cr₹8188 per sqft,N/A,Super Area1509 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
₹1.72 Cr₹8999 per sqft,N/A,Super Area1920 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
₹1.89 Cr₹8188 per sqft,N/A,Super Area2309 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
₹5 Cr₹9987 per sqft,N/A,Super Area5015 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedBathroom5Balcony4,N/A,N/A
₹1.76 Cr₹7999 per sqft,N/A,Super Area2210 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
₹7.54 Cr₹13969 per sqft,N/A,Super Area5400 sqftUnder ConstructionPoss. by Aug '28TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony3,N/A,N/A
₹1.48 Cr₹8775 per sqft,N/A,Super Area1697 sqftUnder ConstructionPoss. by Apr '27TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1,N/A,N/A
₹3 Cr₹11400 per sqft,N/A,Super Area2632 sqftUnder ConstructionPoss. by Dec '30TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony2,N/A,N/A
₹2.72 Cr₹10249 per sqft,N/A,Super Area2655 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
₹11.62 Cr₹11500 per sqft,N/A,"Super Area10,111 sqftUnder ConstructionPoss. by Oct '27TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony3",N/A,N/A
₹1.20 Cr₹6499 per sqft,N/A,Super Area1860 sqftUnder ConstructionPoss. by Nov '27TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
₹54.8 Lac₹2256 per sqft,N/A,Plot Area270 sqyrdUnder ConstructionPoss. by Mar '27TransactionNew Property,N/A,N/A
₹1.73 Cr₹7599 per sqft,N/A,Super Area2278 sqftUnder ConstructionPoss. by Jun '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1,N/A,N/A
₹5.61 Cr₹10499 per sqft,N/A,Super Area5350 sqftUnder ConstructionPoss. by Apr '30TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony3,N/A,N/A
₹64.3 Lac₹4550 per sqft,N/A,Super Area1412 sqftUnder ConstructionPoss. by Oct '26TransactionNew PropertyFurnishingUnfurnishedBathroom2Balcony2,N/A,N/A
₹2.89 Cr₹14144 per sqft,N/A,Carpet Area1361 sqftUnder ConstructionPoss. by Sep '26TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
₹2.92 Cr₹9500 per sqft,N/A,Super Area3075 sqftUnder ConstructionPoss. by Aug '30TransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom4Balcony2,N/A,N/A
"₹60.2 Lac₹2,222 per sqft",N/A,Plot Area301 sqyrdUnder ConstructionPoss. by Jun '28TransactionNew Property,N/A,N/A
"₹1.85 Cr₹7,999 per sqft",N/A,Super Area2320 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
"₹2.63 Cr₹7,001 per sqft",N/A,Super Area3759 sqftUnder ConstructionPoss. by Mar '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom4Balcony4,N/A,N/A
"₹28.1 Lac₹1,889 per sqft",N/A,Plot Area165 sqyrdUnder ConstructionPoss. by Jul '25TransactionNew Property,N/A,N/A
"₹42.5 Lac₹1,667 per sqft",N/A,Plot Area283 sqyrdUnder ConstructionPoss. by Oct '25TransactionNew Property,N/A,N/A
"₹5.45 Cr₹17,706 per sqft",N/A,Super Area3078 sqftUnder ConstructionPoss. by Nov '29TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2,N/A,N/A
